Sentence,Label
charlie i've got a news article about a car theft in castlehill adding significant value to the snowy river,Intel (from newspapers)
charlie just checked charville and there are 100 people in melton at the police station so that might be more party than,Action words
half of 2 about the three oldtown but they checked all they empty drive it all in the three buildings the easterly and westerly building  have one person each and the central building society western building a long has a person in it take them to newtown even though they want to go over,Situation Awareness
done assistance in castleton over,Situation Awareness
charlie would that we just need to make sure i'm going north of someone over,Communications
alpha greenhill and woodside,Situation Awareness
bravo i'm using bowser 72 your position,Fire words
roger leaving now,Communications
at no people in the building that entire southeast and sector is now clear so moving and move all vehicles to breydon on the southeast over,Rescue words
the fires going to esterly,Situation Awareness
roger use accent two units to the southern better if you give you want enough to confirm what you need to go for a 08 just looking for,Communications
charlie just moving through the east of the edge of newton  ascertaining whether there any further person in there that buses got his heart full of five pax in a minute,Situation Awareness
charlie i would i should be able to pop up most of malton with its residence and then i'll just stay on the police station to secure that i think k39 from the wind direction probably swanton is it a protein well they hospital at swanton is clear moving,Reasoning words
alpha yeah you got to stop the spread and wildwood  is finished underwood so intimate short that fire 22 doesn't need to go south west probably be worth having another engine of a 46 go south to beaconhill upper my engine 2 is out of water i'm going to do a real planet centre but winter is probably lost in the park and continue with yourself and when to winterfold was cleared by my battery's going to stop moving towards liquid between winterhold and liquid do we know if there any units in castleton with us personal in that need protecting where my 9 and 10 white are i haven't checked those buildings but otherwise everything else been checked so you can check the once you're a double fine just checking that the fire's gone out and around winterfold understood malton hasn't been cleared and has a significant about people in it so make sure that doesn't spread up there or not just leaving record screen for now it looks like the fire around beaconhill let burn herself out understood log in to the centre of the map whilst you can do that record to the northwest,Situation Awareness
bravo 11 clear at,Communications
this is alpha if someone else come and take the lower half of this fire up and greenhill so around ak11 and 12 already there,Situation Awareness
this is alpha happy to do wildwood  hand the swanton and then move on to castleton,Situation Awareness
bravo team suggest by bloc between castleton and the linkwood,Situation Awareness
bravo confirmed team are we letting swanton and hanley burn,Situation Awareness
roger on route over,Communications
charlie ryan ack find anyone in brightwood unless something to change,Situation Awareness
at all i'm sending my two fire trucks to the southeast of malton and send it via going to be a p20 that no one there at the moment i suggested by clear malton that we let it burn over,Situation Awareness
this is our fundraising addition drives and compassionate leave the local authorities said protest necessarily so and how that might be 3 minutes to further planning approach for the snow map and newspaper intelligence reports available your plan starts now conference eso charville or oldtown look like they have the commercial buildings is already any clue at all as to which one in my by,Intel (from newspapers)
roger shrawleywood looks ok so far leaving west transport accounted for sophia has cleared through malton now i'm moving my vehicles down to winterfold and castlehill to resume clearance over,Situation Awareness
because it's telling me no nobody there to in 1602 in m2,Other
this is charlie i wouldn't think so could not get any chance so even if it is up there then that's not going to people there so when we start i'm going to check out swanton and handlers the first call so but rather if you want a castle in castleton campsites that probably be letter at the start of one of the police station in castleton and 1 on the hospital if somebody to cover,Action words
charlie good well done talk done,Communications
bravo team is,Communications
bravo to all eligible newspaper report there is a wrongful arrest between the southern details of hanley and swan people are very upset about it and obviously it's wrongful arrest my suggestion is hand in swanton are carriers as it's the police station at castleton and malton baby links there's a car theft auto niko 15 castle hill family in swanton play some honda anyway they did have been told people stop their cars up and then investigating so that could be linked either to have a rest of somebody,Situation Awareness
i'm just double-checking my to see if there's any indication about steel and red squirrels but i can't see anything steely red squirrels,Action words
about interfaith family fun day which is being organised to jubilee either at a g4 or p22 so worth checking those acts i think that these one of those is going to be a high value target so which places will that again the village religious organisations so i think probably over,Action words
to denston in there myself thank you very much for trying to keep it under control going to my screen for what i can see breydon looks so much safe at the moment,Situation Awareness
roger south east water and just to the east of italy,Fire words
central house in newtown,Other
this is alpha my first my first port of call would probably be to check the three major towns with big buildings over,Situation Awareness
alpha still seems to be a present to thetford high-rise rescue unit 9 is received it looks a for now,Situation Awareness
obviously that food is high populated will keep a recover,Communications
alpha delta line to unlock the fire creeping around,Communications
this is alpha i suppose let's check if float i'll actually has any people in and because actually if it doesn't or it only has one person we need to then we can focus more on greenhill that question lowtown  has 4 people in it two people at m29 one at 10:30 and one at l30 m29 and l30 is a,Action words
alpha as malton is clear i'm moving an asset to check if fire direction to winterfold over,Action words
on the east sidet his is one of the central time zone you have 3 minutes to further plan your approach with the scenario map and newspaper intelligence reports available epping breydon and brightwood copy i will concentrate as i have 4 units on astley hold over,Intel (from newspapers)
charlie agreed on now moving one evacuation accepted greenhill in anticipation i'll leave that i leave 9 in the centre for now over,Situation Awareness
bravo lowtown  and newton and after,Situation Awareness
charlie agreed ever also sweet my two of castlehill swanton large building seem to be empty also ears and dry what word has 104 people at the campsite over,Situation Awareness
2 minutes away from in the town of castleton want to  do the rest of their career to identify four pax at the police station of a,Rescue words
allcallsigns sisters,Communications
charlie have you managed to get thetford evacuated moving on to 25 how would you feel that in epping,Situation Awareness
alpha could you bring some your forces more self as we do not hit worthington we do not have my,Situation Awareness
charlie i think if we ignore the fire near where the captain brightwood we should be able to get every day and time i'm more concerned astley events if we can focus resources up there i think that would be good if you move your engines up there of your 23 and it's not there after that would be fantastic thank you ever there are two individuals at z3 in astley,Situation Awareness
allcallsigns for your way of sending lena 7 to resupply it's empty of water i've still got a fire to the a of astley other,Situation Awareness
bravo to all well it's quite so i think we had around 17 thetford about 101 pax at home is that correct thetford the big building in holvern in the church alone at home tonight over,Rescue words
copied moving the so-called sounds,Other
alpha 2 in,Communications
and over,Communications
charlie that possibly be campsite there any notion of that i have a feeling it will be hollywood as it says that's going to be some big names such as beyonce bruno mars and kendrick lamar performing there,Situation Awareness
this is alpha the other town that looks like it could be in danger is malton have you got an update on that this charley just checking it that one person they're not loading,Situation Awareness
charlie survey the extent of the fire it seems to be on north to south down the x-ray block to hold at the moment i'll confirm just checking gradient force is probably looking for all so please can you move12 the south astley high rise building at thetford,Situation Awareness
bravo i'm trying to concentrate on the buildings to put them and it just looks really silly now for personnel hr leaving south,Action words
bravo i'm going to check worthington denston and breydon,Situation Awareness
so y13 should be able to be dealt with 45 and 6 british deployed in all reality mind to have 11 hour to east the concern will still be charville with the number of my unit 1 and 3 you know fuel and are moving out grave might be worth refilling your water bowsers now we got a spare moment ever,Fire words
my protein locations of looking at we campsite at wildwood church at hanley and hospital at malton party building in hostel castleton and then there's police station in court in castleton wrong building in castlehill police station castleton,Situation Awareness
bravo team fire is in winterfold,Situation Awareness
bravo i put my two firefighters on the buildings in denston with the most people and i hope they can save them how many people in ireland have not got anybody so far but one person so far but still can't ask me move 6th may be towards worthington to help with that wellingtons got nobody in it elsa ok you just to contain the fire thenls25 side near worthington think we should be ok for the fire door thetford to put the fire out in the buildings that contain people in breydon towards the fire north of worthington fire in the north moving the recover,Situation Awareness
charlie this single pax in the esterly  house in holvern,Rescue words
alpha 5 just confirm you anymore around potter five to confirm there's no more fire in that northwest corner of my eye i know i'm fine if i right now it just going out just going out and my location to move now over,Communications
this is alpha i haven't been able to find any other houses with people in as i find the ones i've already giving you say,Rescue words
alpha we find the one of the buildings at malton surely if you are about castleton is pretty much burning turn off my f1 and f3 out of water out for some issues and search buildings people in the building bolton so just going to leave that fire there's nothing around itso where are the most people at the moment to,Action words
i'm not sure he doesn't give this much does an at hospital in lowtown,Situation Awareness
router,Other
charlie i'll try and let some people into the hospital to release some houses that's ok everyone know the wind direction from northeast to southwest over,Situation Awareness
where is not going sorry from south to north kilo is that going to threaten thetford it will do but he might have done it out by then given how far away is does one person at the campsite north oxford has the three main buildings in of,Situation Awareness
bravo hood top 1 companies going to try and block it sometime get the particles south rather than west tried to take the campsite 6202z camp the woods 72 refill water callsigns fire completely engulfed trench would a movie both winterfold and beaconhill over,Fire words
esterly clear confirmed is 26 people on romeo 13 wrong romeo 30 tango for 13 people can go for 13 people you got to remain application for can we get bowser of 7up near charville please go to 32 personnel recommend i remain on tango to,Rescue words
that's done please move unit 1 up to north to check large buildings,Situation Awareness
roger replens then i guess so yes i remove the central to replay centre and be prepared for whatever comes next question what is the max capacity fire-truck because i'm on 40/40 note that the wind direction has changed for now running west to east so left to right top left hand for foxtrot 11 as x-ray and bottom right fire at x-ray 30 as yankee,Fire words
bravo my two units in wildwood  are low on water at low ok leeds m30 and ip31 to ip13 now,Situation Awareness
this is charlie if engine on s3 and tea please have some fatalities in woodside over,Situation Awareness
roger send it now her,Communications
roger in which case you can send one of your vehicle to castleton and the other two to hand in swanton with then every population center however just know that we are then going to be quite split if we do need to regroup somewhere in the north of understood with the festival is it worth on the way through to these locations just dropping off at the campsites in trenchwood  and wildwood  music festival but there is no one on the map call hazeycopse and that's why sounds like a good plan that and if you could keep telling me which buildings are clear and have people are maxed out on mine,Intel (from newspapers)
roger shift foxtrot six there in a minute i'm just going to check whether people in buildings in the south over,Action words
charlie so i got one unit of activating newton  and i've got another one heading to woodside would you want me to start in charville or are we going to see how that goes with the fire looking towards woodside let us know your eta and we can try on protect ourselves,Situation Awareness
this is bravo i'm happy to take thetford i think typing answer if you're happy to take breyden and epping yeah,Situation Awareness
this is alpha can you confirm the grid reference of the police station over,Situation Awareness
now they can when you're on it just click on the unit in the top number of people in the bottom left of malton then i'm doing trenchwood  so i'll do the northern section winterfold trenchwood  and beaconhill,Situation Awareness
this is bravo my information is about a royal visit to a local shopping centre however it does not say what the town is but i'm assuming shopping centre will be one of the bigger buildings and there's only three towns with them but there is no mention within the article about any negative or antisocial behaviour,Intel (from newspapers)
charlie and currently loading at some people in winterfold,Rescue words
this is alpha refilling number 2 is water tank empty,Fire words
alpha can i get fire northeast for,Communications
bravo team suggest building in worthycopse as a safe house location query over,Reasoning words
this is alpha concentrating on protecting over,Communications
charlie use fighting at 6 to know you was fighting at 6 up north to create a bit of a wall use your sky units to check out langdalewood,Action words
this is bravo i'm going to send one water tanker further my water tank up to hide the new forest in front of newtown by the campsite position my fire engine just outside the charville,Fire words
this is probably i think so now i should be getting a vacuum back to the campsite just in case i've got a unit going there now to see if there's anybody there currently have one in oldtown can you confirm as units in that outside yeah i've just got there in the doesn't seem to be any people in the campsite at all so so we only take me to no sense of units into newton to have a look so it might actually be that we might be able to save to schools off for i have started i10 then we can infer that the other one has started to,Situation Awareness
this is bravo just looking at map i think a good place for that special be maybe like linkwood because it's between to sort of towns so possibly more population there yeah i agree with that but there are interesting with the one penny campsites at 3-day event so i'm that reason it might be 20 or wildwood on the basis that they're campsite yeah,Situation Awareness
unit_3,Other
alpha my all of my assets have been concentrated around the wildwood campsite over,Situation Awareness
charlie news article is have nothing to report call is about red squirrels in firwood which i am suspecting does not take priority of human right,Situation Awareness
on the passover,Communications
roger all recover,Communications
fire is heading towards and breydon hat thing but will be out of water soon it's in the echo 23/4 bring it bounce to you to create a dog leg around holvern so i believe holvern is now secure put out fire and burnt grand splendid other two,Fire words
this is also,Other
rogerlooking for point of view of people and risk management i'm looking at castlehill and underwood as being particularly with that fire that would in between that could spread quickly so just see your way i'm focused on at the moment over,Rescue words
alpha considering that the average your checking should be out of range of first would you unless the house would you be able to check with side and then it probably come up to do initial checks on greenhill and she got the other around over,Situation Awareness
this is charlie at my vehicle has had not to autovan and the other one is coming back down to unload rescue people,Rescue words
this is charlie i have one fire in the top part so it is in u19 world you like me,Communications
this is alpha can you confirm that you're moving towards a trenchwood campsite over,Situation Awareness
alpha only two hospitals greenhill and lowtown  to i can put them on my recce left over,Action words
alpha i do not think blackhill so good would you be able to move your fire-engine to yo32 monitor for the sci-fi over,Reasoning words
see-through 5 tomorrow will begin in 3210,Other
roger in which case i pretty sure that's that's that nicked other agree bowser on kg 10 if needed denston i've got a vehicle in worthington commencing search there other app with my other vehicle and remove to brydon and continue my clearance there where we setting up for the second fire i think if we screened the inside of worthington then hopefully the final continue to go down to the bottom corner and burn itself out confirm eastside westside worthington we want to check to make sure check in the hospital and the large building in worthington probably roughly want to be sitting so from ad eastward's all of those buildings are clear in worthington ok will let that case let's go to worthington so clear the hospital now i'm going to keep engines two and three in the centre because i think the fire if it's not hit lights out i'm going to move engine north of denston sort of south of holbeechwood i  would recommend once we've cleared that worthycopse all vehicles stay in the vicinity of breyden epping and holvern eastern side of the map is not now going to clear the green engine to you i've seen burnt out fire to the east of breydon screen 28i,Reasoning words
agree seems to be quite effective so far to,Other
castleton if i'm happy to cover,Situation Awareness
alpha team do you want do you want my free fire-units to focus denston and your 3 to focus thetford or you want me to move up to thetford is,Situation Awareness
this is charlie can simply put an engine on the campsite in wildwood  please see when it's changed it's still leaking out i have won on the wild with campsite can i just check where the can i get a location for the water trucks please one of the firetrucks is currently still in malton at i will be moving it shortly and the other one is crazy cat dirty you know,Situation Awareness
bravo we've got minimum population in the settlement of denston tracking three persons only even though it's large building waiting up for answer for worthington without buildings in langdalewood are my,Situation Awareness
water vehicle once again is that liberate if you need it at 8 if you need it secondary vehicle is a x-ray 29 that's x-ray 29,Fire words
charlie i'm looking to move people into the hospital if we can protect the hospital in swanton over,Rescue words
alpha kilo 7 and then we'll do an l-shape on their,Communications
this is bravo i was at the trenchwood campsite in that case we do not know where the music festival is it can't be anywhere else because there's no other places people will be shall we set between shall we get shall we protect malta then police station police station and then everybody else between liquid and the police station in malton and then we can ignore the ignore the one that's breaking out i'm near castleton with a good chat depends how fast it goes if it gets that castle hill wind coming from the southeast,Situation Awareness
times of hanley or swanton i didn't get very long to check there couple in swanton but not many that i could see but i haven't checked all the buildings this area has been contained well i think if you do would like to see to the other fire i think i can have this one contains her,Action words
charlie the my current position is zulu 26 i've got fire on two-thirds of my location of field of you seems that the fire towards denston,Situation Awareness
alpha removing f1 and f3just to try and find the fire leave one of them will be there is a lot of,Action words
bravo copied it does have beyonce bruno mars and kendrick lamar those so we had looked to get the fires we're on our way i will the population of hanley and swanton when there's no estas i'll take malton winterfold  and beaconhill to the north ever,Situation Awareness
allcallsigns lowtown  is relatively sparsely populated and those i can out of 25 cats start having for the burn to lowtown  we just need to make sure it doesn't help towards a theory of turnover,Situation Awareness
bravo looks like that breyden might be at risk over,Reasoning words
charlie using my firefighting i said to cover,Communications
is just above where the fire is so it's just been down,Other
this is alpha in terms of the water i kind of ask where is best position your water tanks over,Fire words
this is alpha i suggest we go and move locations around to wildwood  then because there's 100 people in that campsite,Rescue words
bravo got one near castlehill,Communications
alpha-2 and e16 looks like it will probably get the hut near holbeechwood so if we could just rescue the people from that and k35 is looks like it's going to go up through the bright would so if you can make sure epping and breyden are evacuated so i think if we group your firetrucks are as it is,Reasoning words
my fire-truck to brightwood the campsite just to see how many people are there on this i have noticed it's coming from the south so i think if we could send firetrucks one 6 and 3 towards brentwood and 24 and 5 towards holbeechwood over,Reasoning words
bravo-04 can you move one place to mike 14 please so i can put a fire on five,Communications
charlie i guess maybe pirate e45 would be fire around sets now do you think checking denston at the moment that will send back,Action words
