Sentence,Label
the house south west of breydon one person which seems to be contained i'll send her water or try to you the 109 taxi driver,Fire words
bravo gone instant and wrongful arrest in swanton the individuals taken into custody at castleton and maybe some rest are just off to castlehill and resident so warns not to leave keys at cars unlocked and then we'll the terriers,Intel (from newspapers)
this is alpha yeah that seems like a good idea the other thing is beaconhill malton and castlehill all have large buildings especially if there was another thing at castlehill was the car theft me to take malton winterfold and check applicants would yes yeah that that could be a good idea sorry,Buildings
this is bravo i've moved one of my fire engines that thetford and one of my fire engine the dunstan but i think it would be worth checking out worthington as well,Action words
alpha all sending one two and three towards a e60 just that the windows changed so is at a e60 the fire is going to be spreading towards holvern so prioritise evacuation their if possible,Buildings
this is bravo fire has started in a e16 and spreading very fast,Fire words
this is alpha my fire-truck in the new for out of water where's the nearest pick-up,Fire words
this is bravo yeah there's about 30 the office in in greenhill one person so far in oldtown they do not seem to be anybody in the big buildings get-engine stella locations internal locations of the fire upon the wind coming from the northeast i engine is currently and low town play towards wychwood forest did we explore,Buildings
this is alpha looks like we're handling like the fire holbeechwood quite well at this,Fire words
alpha what buildings are still safe and castleton,Named Locations
alpha so langdale was got no one and nothing has got that one or two how many people are in denston and worthington i've got fire heading towards denston and there's 8 people there i'm sat on buildings were 33 and 37 at the moment on loading,Fire words
bravo i do not know about the numbers in newton  who checked it oh yeah i've checked it and i just i just found those to the f25 is on route to oldtown it down it was just two people in one of the buildings in oldtown,Buildings
bravo i've not made contact with the fire i'm currently on row 17 once i have lined up i'm going to push away unit south towards breydon,Fire words
this is charlie i'm infected and starting to like people i run out of water near denston is your water truck able to come down,Named Locations
this is bravo there's no one in brightwood campsite so it's empty so i think i should make the decision then to focus on holbeach or two of two things we can save both breydon,Woods
alpha however under near declaration of charville didn't get any people out need to keep away from those main buildings at this traffic on the water tank be moved to the further up yeah,Fire words
this is alpha every stratford the people from lowtown should we focus our efforts on the the fire that's near greenhill shall we all go up there motown go,Named Locations
age and i'm just feeling as we discussed as a mummy call out a clear area underwood has 5 buildings in if you've got a pen just cross it off so when all kicks off at least you know that area will be will be can have cleared over,Buildings
alpha only two hospitals greenhill and lowtown  to i can put them on my recce left over,Buildings
charlie i can't evacuate anyone from also is it worth us just pushing on to a new location yeah i think malton pretty much saved i'm moving my firetrucks now in anticipation down to the block of underwood and castlehill over,Directions
let's try and get ahead of it have,Action words
this is how far it looks like the fire down here is it's getting smaller i would suggest probably filling up water now over,Fire words
alpha i'll check out the hospital at lowtown  over,Named Locations
charlie has concentrate on that for the units buildings in langdalewood yeah do not find anyone would epping turn itself out at the moment,Buildings
alpha act moving then is it worth me i've just pushing cells make sure that they're fire has behind to the south towards wanting all the water bowser essentially one side and every weekend i'm going to move maintenance screen towards shrawleywood it's not that way so well screen northeast to someone else can screen to the south of malton it doesn't appear that the fire has a protein to winterfold his good news affecting to move north towards hollywood,Named Locations
90 people in thetford so far is the fan no one in brightwood and it just started like you're in thetford and,Woods
is just above where the fire is so it's just been down,Fire words
understood moving now i'm going to do is i'm going to keep an eye on uniform 25 with 2 units let me know if you want another unit to be sent up later on,Other
charlie requests that x-ray over,Communications
alpha can you lose 3 to the water bowser to team i've activated what i can from newton  and moving it to the southwest safe location continue to the northern town which is obscured by fire do we need to make a call between newton  and oldtown concerning the population century oldtown has not yet been but oldtown looks like it's a newton is actually lost i'll move what i can evacuation wise but i'm timings wise not able to get there in time i will do 6 into woodside stop fighting find out there again where fire-truck 6 cancel location to charville without population centres up there ever a,Named Locations
this is currently can't find any greenhill think we may have contained it but if everyone could keep searching round and i am in a h 15 and there is no fire in my little square around that it is play i'm a v8 and there's no fire around there i'm also around the grey rescue point there's no flies i can see they're either,Action words
bravo to all 0 persons in police station at holvern it's on fire anyway so today,Named Locations
charlie has taken charville no longer need for backup fire is taken castle it's working his way towards wyre forest and underwood,Fire words
bravo i wonder if it's worth investigating winterfold beaconhill or malton with the buying it and then using water units already in its domestic italians want over,Named Locations
so worthington is the next place to go for over,Named Locations
whelmed with both of the ground nothing i can do about my firetrucks to castleton the fire moving south 6 of burnt out basically and is no longer a risk area so redirecting bolton bl7 in the vicinity of castleton,Fire words
esterly direction towards that could wood and the south east 10 now and darren one grey squirrel confirm what you want foxtrot six wind direction change south-north advert i'm going to suggest i go down south of brightwood to block given that often although i suggest,Reasoning words
roger what holvern please,Named Locations
set north of underwood should say goodbye coming at comes over,Woods
this is alpha i haven't been able to find any other houses with people in as i find the ones i've already giving you say,Rescue words
this is charlie no people and watch would,Rescue words
after all breyden has less than 10 people in total in the location private school denston has three people in the southern large building should i send was there fire trucks south to the instant the most heavily populated southeast which will be going from c332 that that the priority over,Named Locations
bravo i'm going to send logistics north of castleton just to see if the fire spreads out to there over,Named Locations
bravo i'm trying to concentrate on the buildings to put them and it just looks really silly now for personnel hr leaving south,Reasoning words
movie now,Other
just seen i'll send fire truck substantive wildwood rather than just one,Fire words
charlie here i need to read engine just bother is newtown evacuated spread through the night irish spreading to travel this,Communications
ed after all sending my other two units up to wyreforest  over,Hills and Forests
the religious buildings at p22 in breydon or the one at a g4 in holvern but it doesn't specifically say it at whatever but somewhere there's going to be a larger group services,Buildings
this is bravo 106 people at malton station so really high a population and the sopranos no-one at trenchwood campsite so that's not the location of the festival to be,Woods
outside probably say woodside but we need to keep greenhill still has the highest population of west side of greenhill any high-value properties from object no in cases but travel has not been checked and is for large buildings are over,Hills and Forests
charlie copy to i have an article from the canadian echo telling us the faith leaders are coming to for an interfaith family fun day the local community potentially any local community unlikely to be either of the two churches virtually anywhere in the areas of potential for lots of people pixie townsend directors of confirm that plan i'm only thing that makes me a little nervous is the individual dwellings to in the woods on the west single campsite that third single house over,Rescue words
bravo all i'll send one fire truck to the north of trenchwood in case there is to start that was your ford truck 6 to the west of trenchwood to protect winterfold can i just remind you to use your call signs please which folders are empty a rabbit all fire spreading rapidly north of it for me on beaconhill campsite in trenchwood is empty over,Named Locations
this is bravo yeah there's about 30 the office in in greenhill one person so far in oldtown they do not seem to be anybody in the big buildings get-engine stella locations internal locations of the fire upon the wind coming from the northeast i engine is currently and low town play towards wychwood forest did we explore,Hills and Forests
bravo did you want to beauvais foraging 6 onto to the southeast of instant agencies number_69 leaving it now,Communications
charlie i guess maybe pirate e45 would be fire around sets now do you think checking denston at the moment that will send back,Action words
alpha what you want to do with the units initially keep them in their recommended keep them spread winterfold castlehill when underwood are we waiting to see if anything breaks outset two different locations,Directions
charlie team malton lost no casualties no casualties at malton and it's been put out so we can clear malton now over,Communications
alpha 3 4 and 14 golf throw her column engine 52 the foxtrot line and likewise nothing ceiling golf golf united to me south to the a b and c lines on,Communications
charlie thank you this are they just moved by truck 782 the fire in greenville,Fire words
that's fine i'm currently movie one of my engines up to police station in malton and i will keep one of my other units son down towards other fire i've been asleep winterfold and i can't find any the wildwood  campsite has over,Woods
this is charlie unloading up and people rescue in woodside,Woods
alpha only two hospitals greenhill and lowtown  to i can put them on my recce left over,Hills and Forests
bravo two team containment of fire 4 underwood suggest line of defence,Woods
charlie we check again my phone sorry i was going to go to i can go to moulton run out to that side i was going to check winterfold is close to the previous proposed start positions to check that i just like it woodside castleton then rather happy with that liquid go to do the castlehill hospital in the night building and it's close to the the centre of the winter fault and then i'll go to the other side up to malton rescue units heading to castlehill and winterfold person and,Named Locations
alpha news clipping is all about a local football team gives no information on where people are are any risk to fire over,Intel (from newspapers)
charlie i just say that we need to remember what we learnt before which is that you've got potential accelerant where you've got woods between prevailing wind and towns example trench would might be in might threaten beaconhill is fire i've been out facility over,Fire words
alpha you happy taking town newton blackhill and the campsite in newforest over,Hills and Forests
this is alpha whilst it references hospital it doesn't say that there's an event on or there's no reason to believe we'll be any more popular over,Buildings
alpha ok i'll go and find out where big population centres are there from the start that will give us a response case over,Action words
charlie's siri i do not think it's possible to get back i will have to use the firewall at this point at 6 north along with along with that one team fight fire at holbeechwood is holvern is no point,Reasoning words
age across the a04 are fire protection voice making sure it's relatively near to some the population centres thetford and worthington over,Named Locations
the two big buildings or fight the fire just south the biggest town in charville over,Fire words
charlie copied understood starting to evacuate from greenhill,Hills and Forests
this is alpha thank you i'm moving my engine to number seven looks like a firework been extinguished now love still got bits squares ok so i'm sending my bad herself i'm sending an engine to another 7 turkey at wakefield i'm going to start backward winterfold  are we hello no delete this southway got a northerly wind now so yeah potentially yeah that that no it's fine my he has put into winter felt so good shall,Named Locations
this is charlie yes there's about 8 people and denston you want me to redirect from braids on to the rescue currently the village is about to go up in flames so if you're not here already i think it might be over,Named Locations
bravo if you could move out at 5 for over,Communications
bravo the fire is getting round the back of you at brightwood so just watch out that over,Woods
allcallsigns all three or now between thetford and expected start of the fire over,Fire words
this is charlie how many people are in newton  and the newforest campsite is a,Rescue words
it now to just confirm how many people in the hospital astley over,Named Locations
could we maybe move onto evacuating town to,Other
alpha what was the grid for the fire deptford 35 and 16 fires little building just be isolated one southeast of beechwood fire started so yeah lol line back to my units i'm going to  might not get there when i said i said back to me just north one about the fires in ashtead in the south of brightwood as well,Buildings
bravo to all using water to investigate denston doesn't close after all noting wind direction is going to say east south east is the direction of i will go over,Fire words
this is alfred in there now i've got number to fire engine now beaten up on number eight water tank number 3 needs filling up as well,Fire words
charlie can you take oldtown newton and blackhillforests near you i'll do it and yeah which you would a newforest lowtown and i can1 units to be slim with place i probably got 12 do have a blackhill woodside if that means you've got more time to do bigger places like newton  and oldtown the,Named Locations
bravo to,Communications
bravo are you sending a message to greenhill or are you going to keep them down around you 25 over,Hills and Forests
west to east fires happening now in the city of foxtrot 11 hour,Fire words
charlie is there fire to the south of your fire and insect the west over,Fire words
try and see if there's some fire there to be found is,Action words
this is bravo this fire-truck 80s alternative and also heading to the middle sorry about that,Fire words
alpha news clipping is all about a local football team gives no information on where people are are any risk to fire over,Fire words
bravo again the large building talk and also present a school but i think on this one dispersal taking her tactic to search how might be here and here any ideas what you want to search if you want to get the fire vehicles to do out of villages and keep the rescue vehicles a bit more central i want to send one of my rescue units top right and then bottom rides,Reasoning words
this is alpha yeah ok i'm currently moving my water tank it down to wildwood  can you confirm what position your on i'm currently on g32liquid and i have tankers trying to block the fire way from castlehill at,Fire words
charlie are sent by engine to lowtown then i've just had a hospital in greenhill so maybe some bad feeling if the green hill has had any negative impact from the lowtown hospital getting someone's attention yeah i'm sending a a fire engine there now just to have a look at population,Buildings
y vehicle to the church inn brading to check the people there i think i should move my alicia couple of my fire engines to braydon to the of with the wind coming from that direction the north northwest corner,Fire words
this is bravo here my article just talks about red squirrels driving in forward but it doesn't it doesn't say anything pretty much that links to where the population of anything like that so,Intel (from newspapers)
this is also,Other
charlie prioritise the health the lord buildings in biggin hill that you can when you when you've got that water back,Fire words
this is bravo i think it's about 30 30 people in the office no 1 in the charts in the hospital no one in the church where's the office in greenhill the hospital going to the hospital now then you have sent my units up to the black corner then fully im4 fire started am fire has started as well i have my dinner on the way now where is two-thirds of the way up the screen so where is everybody in woodside my three engines is,Fire words
charlie thank you also check denston close closest to worthington could i ask this size of ask your dad to buy anywhere that has got people if you let me know numbers and location and i make a note on my map so i know where to head to friend on fire,Fire words
this is charlie it looks like the fire spread not to astley it's currently,Named Locations
alpha i'll i'll send one set epping and thetford and the wood as wellmy3 vehicles and so that's basically broken down to 3 hours ok who's,Named Locations
roger that would be in with 5 x 5 other wind direction change from south east up to northwest,Buildings
this is charlie did you check v5 houses to the right my underwood over,Woods
my article is about a wrongful arrest and the place where this person was taken into custody was castleton which is the sun easter town on our map on screen of,Intel (from newspapers)
roger i actually think in charville in that all the time with we're going to have the fire on second might want to switch focus to woodside ever where's woodside sorry centre of the map project yankee in vicinity of all time is now extinguished i'm moving forward32 woodside to see if i can extinguish way of a fire is there at now moving 45 firetrucks and bowser 8 ward woodside why do evacuation truck sorry that loading or unloading,Named Locations
charlie is that the building of the police station unconfirmed area fires tracking to the north south east and north west around bolton suggest we need to protect underwood south east going to underwood over,Woods
charlie i think i've got everybody in lowtown|1loaded and moving to south southwest location over,Reasoning words
this is alpha looked at the fire has reached holvern understanding the last person heading over,Named Locations
alpha can you move your lima 72 echo wrong foxtrot 3977 is almost empty i'm going to send survivor,Communications
this is charlie there in l14 is,Communications
bravo to all water unit 7 coming to astley how shall we fight it's probably required athlete is fine one is out of water out and westbury danica civilians checking off now,Named Locations
this is bravo yeah i think that's a good shout so maybe going sending units to either one of those to have a look at population status,Reasoning words
roger shrawleywood looks ok so far leaving west transport accounted for sophia has cleared through malton now i'm moving my vehicles down to winterfold and castlehill to resume clearance over,Named Locations
bravo or so no vision i am bottom right of the rescue centre on the left-hand side of castleton into recommend we focus a ds is very populated by the way 8 is now in position at a828 refill seven of them position at w33 auto fifa 19 07897 is near where the music festival is happening so probably want to get some units sending both my units there now recommend a few units on j24 just to stop it spreading into castlehill because the wind has changed after all i'm going to send two units to j24 m1 72,Named Locations
alpha 7 over,Communications
alpha f1 charville turn the fire it's in firwood moving numbers free to charville please tell me the next 3 to 2482 please that's got 30people in it before then i got 13 ok then if you take anybody out of tea for me he's got three people on board 10 people on boardcm2 8yt to and i'll put the three in it down there left in that building also got two people in oldtown thinking the top building in oldtown,Fire words
this is alpha the reach the newforest down at the other end at is also reached forward,Hills and Forests
both of them rather do all 100 pax at wyldwood campsite that's 104 pax at wyldwood campsite in 9 of the fire limited personnel approximately 8 down after all heading to the fire and a case 39 over,Fire words
this is or as a wildwood  campsite has a break continuing 104 pax trenchwood  has 0/2 roughly just on the half the population of the until i might suggest you concentrate now should i commit both evacuation trucks to wildwood  send one down towards the costin population centre time considering wildwood  in comparison to the first two fires so maybe yes but your assets rather,Woods
alpha says you've got three i'm just thinking in terms of cutting down the numbers that you have to juggle yeah i find a high value when i'm going to plant someone on there yes i'll probably leave one engine and weddington if the fires are nearby if not i can move the engines you it'll be easier as we can see everything first,Action words
charlie we need to church in winterfold  next to your number 5 ok i'll put number 5 on it is apple looks like the lost control of that fire in the bottom left hand corner establish whether there was anything going on in swanton,Fire words
i'm going to create a screen along b21 between winterfold and beaconhill hasn't been cleared however it might be worth putting up for the north i will as soon as i get that's going to take a walk on the wrong side i have one more building to clear in winter fold and ending tyre town is clear other,Named Locations
bravo i didn't find anything relevant just about red squirrels in firwood community cottage hospital open in lowtown,Woods
bravo i forgot immediately but i think you've corrected in incorrect anticipation so to confirm firetrucks 4 and 5 will block the fire from making lowtown  buy yankee confirm yep,Named Locations
there just three i need to check please can you confirm that the one that i've got my 10 on is one of the ones that you've had that has got people in over,Action words
alpha fire-truck 2 is heading towards number_7 now,Fire words
alpha delta six or,Communications
so my talking about trying to keep the hospital lowtown which the southwest the map open so i could be up in concentration of people,Buildings
this is alpha if they're all in one building in moulton can we just make sure that we got a fire-truck on so that be extinguished that area straight away over,Buildings
charlie are sent by engine to lowtown then i've just had a hospital in greenhill so maybe some bad feeling if the green hill has had any negative impact from the lowtown hospital getting someone's attention yeah i'm sending a a fire engine there now just to have a look at population,Hills and Forests
allcallsigns 57 needs to check on my water,Fire words
the newforest is likely to burn,Hills and Forests
this is bravo castlehill is clear of people and so is underwood castlehill and underwood have no people in them to confirm beaconhill underwood castlehill have no people in it at winterfold has for the people in it i have a fire try,Named Locations
this is bravo i move my phone the weather fire as i didn't check wellington have started in both locations now,Fire words
this is particularly strong feeling about this still still works have you got people and happy that it is it or is there any information about that advertising basically the hospital was saved by those efforts so there's the valleys and all the effort has gone into actually save it looks like it's in history doesn't look like it's actually happening now,Buildings
charlie i like your personal in safe zone in vicinity of 9/12 moving water truck you see on the map or truck seven to the north west of denston evacuated from thetford currently unloading at the safe zone in sierra 9/2 moving unit for down to south of denston fighting to freddie,Fire words
this is bravo there's about 119 people at greenhill 112 at the hospital and they're there is a one individual at 13,Rescue words
this is charlie the fire at j24 is the winds change now that's going to go south and hit castlehill wildwood  a potentially handling swanton depending on how long it goes over,Named Locations
bravo hood top 1 companies going to try and block it sometime get the particles south rather than west tried to take the campsite 6202z camp the woods 72 refill water callsigns fire completely engulfed trench would a movie both winterfold and beaconhill over,Hills and Forests
bravo could you move your number 8 water truck up to a m4 just got eyes on when the fire yes,Fire words
charlie do you need to recall your water i partly have the 8th position in castleton and i have television in malton,Fire words
this is bravo's with the location of the safe zones be quite easy to get people from worthington and thetford to the safe zones if they are the towns where a lot of people are located in my view it seems more likely that piece of this going to be trouble where the royals are visiting because of anti-war sentiment whatever i can't imagine too many people being too upset the football team that's just thought my report hate crimes towards a religious group ok in that case that's very likely,Named Locations
bravo copied it does have beyonce bruno mars and kendrick lamar those so we had looked to get the fires we're on our way i will the population of hanley and swanton when there's no estas i'll take malton winterfold  and beaconhill to the north ever,Hills and Forests
and also reminder campsite in wildwood  has 104 purse now i'm going to do a baseline from se26 going from west private just working through hanley to check numbers of personnel there looks like it's more to the east of the position across to make sure it doesn't go into castlehill over,Action words
bravo copy has in excess of 100 pax over,Rescue words
roger and worthington thetford town and free to brightwood and then i'll move them it towards langdalewood vehicles on route to my three locations,Named Locations
alpha good luck everyone all wind is heading in a south westerly direction coming from northeast to southwest vehicle north was charts real and southeast down i'll give you later whatever,Buildings
bravo talk all saints i will send you one firetruck to epping and one too long what's on route to breydon and holvern and a firetruck on route to the campsite thetfordwood campsites keeping fire acid-free in centre sending one fire-truck to worthington at the church is not the wood has won over,Fire words
after all moving my vehicles to the northeast corner of woodside given we've got charville and greenhill is the centre of mass of people in this within this scenario,Named Locations
charlie other,Communications
copy as unit_6 is quite far out suggest to move it further to the south west of a apparently located to get out of the fire,Fire words
this is bravo will do that now,Communications
your vehicle going to thetford our,Named Locations
this is bravo castleton it is very likely to be busy beaconhill is potentially to be busy and probably are individuals both in hanley and swanton,Hills and Forests
so i can now see the fire in at 11 i probably rather do you have enough assets to do with the fire at all it appears to be containable over,Fire words
charlie team did we need to begin to breydon i didn't and how's life scouted giving up bible start at 20 over,Named Locations
charlie if you maintain contact with the fire in,Fire words
this is charlie oldtown it had a hand charville seem to have the most people i can spy the conferences in westhill or easily,Rescue words
this is bravo there are a believes two people in newton  aj three and a l32 is a,Rescue words
charlie i'm not too fussed about customer just got one more building to check but i think i've cleared it over,Reasoning words
roger on deploying a team 12 whisky and c3 noting the wind direction is north west to south east that recommends team to is the lights to block the fire from game from zulu into denston managed to confirm that you're supporting team won or whisky with bowser 7 over,Named Locations
alpha how do you want to separate out firetrucks to deal with these potential fires this,Fire words
this is alpha i just thought shall i check out wildwood  and trenchwood  campsites show the other people there if the festivals that you one of them is,Woods
roger moving to one that's my fire-units out of water  sending me surprise vehicle to them now i should be worthington close civilians of it looks like from the southeast is claire just goodbye to rock you to the west of,Reasoning words
bravo just do not have north happy for it to head to woodside i think i'll see if i clear out over,Woods
this is alpha you happy to put your 24-hour shops in the southwest over,Communications
charlie it would be fantastic help lowtown  and then like esterly  in westhill i'm not quite sure why i need to know about there being red squirrels in firwood as well as possibly here saving human lives travelling woodside might be busy then,Named Locations
charlie tuna said that direction how fast found one person oldtownmill building with 27 people in charville,Rescue words
this is a southerly wind change 5 m/s yeah,Buildings
roger recommend sending the two water bowsers and the two rescue truck we can take some time risk on them privately,Fire words
charlie act breydon is confirmed as being low population no one in the church i'll just make contact with the fire on line 1515 fire zulu at,Fire words
alpha what's the have you got monday august 14th as well as your date a music that's what's going on hazeycopse music i do not know where that be on the map it's just usa today and your papers today so i haven't got can't see any specific locations on the map just a good lineup so how you so have loads of of people staying in buildings who's got the prisoners escape to something like that so it's a room full of rest they are responding to a report of a robbery in swanton and peace officers arrested and then take me to custody at castleton has been an outrage wants to civil right leaders and the calling for an investigation also there's going to be a police open day event on that day i miss you,Buildings
this is bravo mine is report suggests that individuals in hanley it's wanting and there is definitely people in castleton mine,Rescue words
bravo we do have some people in breydon ok,Named Locations
this is it has the 10 in newforest been checked as,Action words
bravo as esterly  and west the remaining villages on the maps for focus all fighting it's there now i'm moving to italy now note in the wind still going west to east should be fine ever definitely continue to spread south towards esterly  and elvis would which water what's the syrup on the rescue vehicles floating off moving to esterly now the heart by which word is empty of civilians,Buildings
bravo i put my two firefighters on the buildings in denston with the most people and i hope they can save them how many people in ireland have not got anybody so far but one person so far but still can't ask me move 6th may be towards worthington to help with that wellingtons got nobody in it elsa ok you just to contain the fire thenls25 side near worthington think we should be ok for the fire door thetford to put the fire out in the buildings that contain people in breydon towards the fire north of worthington fire in the north moving the recover,Rescue words
alpha the hospital and ashley is empty over,Buildings
thetford or beechwood haven't found any evidence of the fire moving off so looking ahead i think lettings currently a cause of concern that could remain sell but astley i haven't had i've checked all of us lee there was a total of 5 people spread out through four properties in astley to just put some low priority still checking holvern but obviously 108 people in the church they are understood,Named Locations
charlie understood next we should put the focus on our initial plan of work my pride staff will be castlehill underwood so i can end but to vehicles there it would be worthwhile one of us look at beaconhill if i do that with my 3 vehicles i look at castlehill underwood and beaconhill over,Woods
this is charlie can simply put an engine on the campsite in wildwood  please see when it's changed it's still leaking out i have won on the wild with campsite can i just check where the can i get a location for the water trucks please one of the firetrucks is currently still in malton at i will be moving it shortly and the other one is crazy cat dirty you know,Directions
the fires going to esterly,Fire words
this is charlie i believe castleton is evacuated if the anyone sees any people please shout over,Rescue words
roger be a were the town of castleton southeast there's no date in my report but there is talk of a police open day in that town and the chief of police as you are the cheapest request to people to remain calm so expectation possibly of civil unrest in the police open day in the town of castleton initially released keep my vehicles in the centre of linkwood castlehill underwood that's very want to know what happened we can give it you want to check the hospital large building in castlehill and the church support 106 people in the police station in malton,Buildings
this is alpha b i can see the fire at 26 and 25,Fire words
charlie once this fire is successfully put out in malton recommend meaning of firetrucks south towards underwood castlehill,Woods
bravo i move my bowser at 8 to langdalewood to check,Fire words
this is charlie at my vehicle has had not to autovan and the other one is coming back down to unload rescue people,Rescue words
that was,Other
bravo team i also have a large gathering it's taking place in a shopping centre involving british royal family doesn't say where the shopping centre is so suggest we consider all locations on the map at this stage and less any further info is provided out same does not refer to a large gathering instead focusing on the success of the top team in breydon not imagining that there's going to be a pic group of people there but i guess we'll see,Intel (from newspapers)
charlie evacuation team where would you like me to commit it because at the moment it's not doing arthur,Communications
charlie i say,Communications
charlie there's a couple of god i'm picking him up,Communications
charlie sheen thank you try to,Action words
now they can when you're on it just click on the unit in the top number of people in the bottom left of malton then i'm doing trenchwood  so i'll do the northern section winterfold trenchwood  and beaconhill,Woods
charlie canadian echo advertises a large local community interfaith family fun day supporting people of all face coming to promote diversity and harmony etc so likely locations for that also breydon or holvern just going by the to church locations on the map her then i think it's at night population centres and those to face locations last visit visit and then the two churches for that faith community day suggest we can get the recce of those of thetford and worthington surveys to population centres for the royal visit and breyden and holvern he event minutes to further plan your approach with the scenario map and a newspaper intelligence reports provided yeah,Named Locations
a,Other
this is no my engines i was awake mate i will currently being 7 shortly do you think winterfold is going to be hit,Reasoning words
position in front of underwood to protect castlehill to team i've got unit 9 heading to handley and swantont to do a civvy count advice but unit_6 please over,Woods
this is alpha can you move your water one more time please to mike on for to ensure we have a water supply near the police station over,Fire words
roger have sent a fire truck 62 mike in vicinity of the fire in tay to 50va,Fire words
i'm going to take the so you know the big buildings on in thetford have approximately 30 to 40 people in them evacuate that money it might be worth seeing if we can create a barrier to make it just go all the way around the sides of that food and just avoid that entire that moment over,Rescue words
this is bravo i think we should hook up with the one near wildwood at first i've got one engine going up towards the fire near  trenchwood that forest,Reasoning words
charlie i've got one rescue truck breyden and,Communications
this is bravo just looking at map i think a good place for that special be maybe like linkwood because it's between to sort of towns so possibly more population there yeah i agree with that but there are interesting with the one penny campsites at 3-day event so i'm that reason it might be 20 or wildwood on the basis that they're campsite yeah,Reasoning words
charlie i'll send some direction anyway that's not been searched yet newton  robin still searching charvilleand haven't got bathroom woodside yet i've got quite a few people in the large buildings in charville sea north east of greenhill green hill hospital in greenhills got a lot of people that can we get some something into the hospital or something within reach of it,Buildings
are you happy to take the suddenly one-,Other
charlie this single pax in the esterly  house in holvern,Rescue words
alpha with campsites near civilians over,Communications
bravo closer than i am just looking to see where the fire is that was going towards loadout f3 can you move one place right please about 6 can you move to the building to up from where you are now just in case6 is on the hospital hospitals now brown said safe around left the fire and lowtown|1cos f10 of water that's going to go and refill there's nobody in esterly or west it was far away are so there's nothing else to damage and there's nothing in blackhill so it's just new town and oldtownand charville i didn't finish doing account in woodside ministry mapplethorpe,Named Locations
charlie have now got a line of fire-assets between the fire and thetford over,Named Locations
this is alpha so mine is talking about a music festival in hazeycopse which i do not think is on here but i assume that means we should probably get the campsite in trenchwood  and wildwood  just thinking about tactics if people could communicate when they're on like 10 to 15 l of water left in their tanks then that means that i can try and get a fire-truck over,Reasoning words
charlie can you home to see if there's any sight of a fire of malton,Fire words
bravo i've cleared the lowtown|1so it's only make sure the fire up to adc it can burn southwest as much as he likes over,Fire words
you before you run out of it all constant updates on fire spreading will be very useful for do we think that locating fire spread by like between wonderful and underwood or saying specific coordinates will be more useful specific coordinates i think will be more useful for me all my rescue units are in castleton and in the middle of castlehill and i've popped my fire-unit in the direction of trench would and surely wet or move it closer to where the actual fire is months we know,Named Locations
alpha sounds oscar 2022 movie fast is there any people in malton was a few people in castleton reject that way,Named Locations
charlie just checking castleton now for all core size is,Named Locations
bravo as far as i can tell them downward the fire is has turned away from land out would you want fire-truck 6 then and i'll be done that i redirect the trucks is anybody out of the liver thetford or the campsite in thetfordwood over,Fire words
this is alpha i suggest we go and move locations around to wildwood  then because there's 100 people in that campsite,Directions
